Layer,Boundary,Protocol,Latency_ms
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,190.51742553710935
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,4.271984100341797
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1.4188289642333984
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,4.160642623901367
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,190.13738632202148
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,3.600597381591797
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,2.14838981628418
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,3.3969879150390625
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,190.90867042541504
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1.7418861389160156
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,2.0020008087158203
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,4.602670669555664
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,191.6775703430176
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,3.511905670166016
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,2.2339820861816406
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,3.11136245727539
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,191.18475914001465
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,3.148317337036133
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,2.61831283569336
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,5.105018615722656
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,189.18538093566892
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,5.061149597167969
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,2.657413482666016
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,5.630254745483398
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,187.03722953796387
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,3.934144973754883
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1.4293193817138672
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,3.731966018676758
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,190.5670166015625
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,4.798173904418945
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,2.9392242431640625
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,4.976749420166016
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,187.67786026000977
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,4.783391952514648
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,2.63667106628418
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,5.707740783691406
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,186.5692138671875
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,4.290580749511719
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1.4443397521972656
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,4.006862640380859
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,190.3586387634277
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,5.187749862670898
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,2.5093555450439453
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,5.4931640625
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,186.81979179382324
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,3.2694339752197266
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,2.019166946411133
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,3.648996353149414
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,191.0710334777832
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,3.309488296508789
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,2.4149417877197266
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,3.0705928802490234
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,191.25723838806152
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,4.787683486938477
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,2.918243408203125
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,4.807233810424805
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,4.600763320922852
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,8.411169052124023
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,3.5283565521240234
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,7.469654083251953
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,4.605293273925781
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,8.392810821533203
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,3.5583972930908203
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,21.47817611694336
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,4.008769989013672
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,16.006946563720703
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,4.813671112060547
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,7.151365280151367
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,3.4821033477783203
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,9.54580307006836
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,3.857851028442383
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,9.151220321655272
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,3.5495758056640625
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,9.785652160644531
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,3.548860549926758
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,8.400440216064453
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,4.519939422607422
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,187.5038146972656
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,9.215354919433594
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,5.898237228393555
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,1.575469970703125
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1.8503665924072263
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,3.532648086547852
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,11.379480361938477
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,3.999710083007813
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,10.979413986206056
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,4.052162170410156
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,9.963512420654297
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,4.945278167724609
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,35.047054290771484
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,4.797220230102539
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,27.26602554321289
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,3.135204315185547
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,9.816169738769531
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,3.185510635375977
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,7.820844650268555
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,4.746913909912109
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,8.252382278442383
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,4.282474517822266
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,8.760929107666016
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,4.259347915649414
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,8.996963500976562
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,3.367185592651367
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,9.339570999145508
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,3.8962364196777344
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,188.77863883972168
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,3.740787506103516
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,2.266883850097656
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,9.088754653930664
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,3.4744739532470703
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,2.265453338623047
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,8.780956268310547
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,4.711151123046875
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,8.270978927612305
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,5.045413970947266
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,9.948968887329102
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,3.185272216796875
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,10.80465316772461
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,4.907369613647461
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,8.087396621704102
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,4.966020584106445
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,9.029865264892578
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,3.875255584716797
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,8.121967315673828
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,5.097866058349609
Inter-PLC,S7-1200 <-> Micro820 (Modbus TCP),Modbus TCP,8.906841278076172
