Boundary,Protocol,Time_Bin_Start_Sec,Bytes,Packets,Bytes_per_Sec,Packets_per_Sec
Ignition SCADA <-> Middleware (OPC UA),OPC UA,372.0,932,6,932.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,373.0,851,6,851.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,374.0,407,3,407.0,3.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,375.0,1229,6,1229.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,376.0,888,6,888.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,377.0,959,6,959.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,378.0,986,6,986.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,379.0,1366,10,1366.0,10.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,380.0,597,3,597.0,3.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,381.0,878,6,878.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,382.0,878,6,878.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,383.0,969,6,969.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,384.0,851,6,851.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,385.0,932,6,932.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,386.0,488,3,488.0,3.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,387.0,1067,6,1067.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,388.0,959,6,959.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,389.0,1023,6,1023.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,390.0,905,6,905.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,391.0,1095,6,1095.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,392.0,434,3,434.0,3.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,393.0,851,6,851.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,394.0,1366,10,1366.0,10.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,395.0,888,6,888.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,396.0,932,6,932.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,397.0,1175,6,1175.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,398.0,407,3,407.0,3.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,399.0,932,6,932.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,400.0,986,6,986.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,401.0,996,6,996.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,402.0,1095,6,1095.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,403.0,878,6,878.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,404.0,407,3,407.0,3.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,405.0,1013,6,1013.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,406.0,959,6,959.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,407.0,888,6,888.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,408.0,1256,6,1256.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,409.0,1312,10,1312.0,10.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,410.0,434,3,434.0,3.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,411.0,1040,6,1040.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,412.0,851,6,851.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,413.0,1186,6,1186.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,414.0,878,6,878.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,415.0,878,6,878.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,416.0,488,3,488.0,3.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,417.0,851,6,851.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,418.0,851,6,851.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,419.0,1266,6,1266.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,420.0,851,6,851.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,421.0,959,6,959.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,422.0,488,3,488.0,3.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,423.0,932,6,932.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,424.0,1448,10,1448.0,10.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,425.0,996,6,996.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,426.0,878,6,878.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,427.0,932,6,932.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,428.0,407,3,407.0,3.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,429.0,851,6,851.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,430.0,932,6,932.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,431.0,1185,6,1185.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,432.0,959,6,959.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,433.0,932,6,932.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,434.0,461,3,461.0,3.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,435.0,1014,6,1014.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,436.0,1013,6,1013.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,437.0,915,6,915.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,438.0,959,6,959.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,439.0,1339,10,1339.0,10.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,440.0,407,3,407.0,3.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,441.0,932,6,932.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,442.0,1148,6,1148.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,443.0,996,6,996.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,444.0,851,6,851.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,445.0,986,6,986.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,446.0,516,3,516.0,3.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,447.0,1040,6,1040.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,448.0,905,6,905.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,449.0,969,6,969.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,450.0,851,6,851.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,451.0,851,6,851.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,452.0,488,3,488.0,3.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,453.0,1148,6,1148.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,454.0,1366,10,1366.0,10.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,455.0,969,6,969.0,6.0
