device,protocol,sample_index,latency_ms
RPi Middleware<->SCADA,OPC UA,320,4.984499999409309
RPi Middleware<->SCADA,OPC UA,321,4.871799999818904
RPi Middleware<->SCADA,OPC UA,322,4.945900000166148
RPi Middleware<->SCADA,OPC UA,323,4.881199998635566
RPi Middleware<->SCADA,OPC UA,324,4.97469999754685
RPi Middleware<->SCADA,OPC UA,325,5.0212999994982965
RPi Middleware<->SCADA,OPC UA,326,4.8956999999063555
RPi Middleware<->SCADA,OPC UA,327,5.24799999766401
RPi Middleware<->SCADA,OPC UA,328,5.186300000787014
RPi Middleware<->SCADA,OPC UA,329,4.759699997521238
RPi Middleware<->SCADA,OPC UA,330,4.877699997450691
RPi Middleware<->SCADA,OPC UA,331,4.866999999649124
RPi Middleware<->SCADA,OPC UA,332,4.896099999314174
RPi Middleware<->SCADA,OPC UA,333,4.771199997776421
RPi Middleware<->SCADA,OPC UA,334,6.34139999965555
RPi Middleware<->SCADA,OPC UA,335,4.899199997453252
RPi Middleware<->SCADA,OPC UA,336,4.89709999965271
RPi Middleware<->SCADA,OPC UA,337,4.762500000651926
RPi Middleware<->SCADA,OPC UA,338,4.851999998209067
RPi Middleware<->SCADA,OPC UA,339,4.809300000488292
RPi Middleware<->SCADA,OPC UA,340,5.481099997268757
RPi Middleware<->SCADA,OPC UA,341,5.965300002571894
RPi Middleware<->SCADA,OPC UA,342,5.142300000443356
RPi Middleware<->SCADA,OPC UA,343,4.936799999995856
RPi Middleware<->SCADA,OPC UA,344,4.989400000340538
RPi Middleware<->SCADA,OPC UA,345,4.926700003125006
RPi Middleware<->SCADA,OPC UA,346,4.94299999991199
RPi Middleware<->SCADA,OPC UA,347,5.160300002899021
RPi Middleware<->SCADA,OPC UA,348,4.905300000245916
RPi Middleware<->SCADA,OPC UA,349,4.842499998630956
RPi Middleware<->SCADA,OPC UA,350,4.902500000753207
RPi Middleware<->SCADA,OPC UA,351,4.738399999041576
RPi Middleware<->SCADA,OPC UA,352,4.89469999956782
RPi Middleware<->SCADA,OPC UA,353,5.043199998908676
RPi Middleware<->SCADA,OPC UA,354,4.944999996951083
RPi Middleware<->SCADA,OPC UA,355,4.847100000915816
RPi Middleware<->SCADA,OPC UA,356,4.816100001335144
RPi Middleware<->SCADA,OPC UA,357,4.872899997280911
RPi Middleware<->SCADA,OPC UA,358,4.88000000041211
RPi Middleware<->SCADA,OPC UA,359,4.902500000753207
RPi Middleware<->SCADA,OPC UA,360,4.840199999307515
RPi Middleware<->SCADA,OPC UA,361,4.935599998134421
RPi Middleware<->SCADA,OPC UA,362,4.9455999978818
RPi Middleware<->SCADA,OPC UA,363,4.842499998630956
RPi Middleware<->SCADA,OPC UA,364,4.91630000033183
RPi Middleware<->SCADA,OPC UA,365,4.872899997280911
RPi Middleware<->SCADA,OPC UA,366,4.977900000085356
RPi Middleware<->SCADA,OPC UA,367,4.8712999996496364
RPi Middleware<->SCADA,OPC UA,368,5.027000002883142
RPi Middleware<->SCADA,OPC UA,369,4.8814000001584645
RPi Middleware<->SCADA,OPC UA,370,4.9593000003369525
RPi Middleware<->SCADA,OPC UA,371,4.86559999990277
RPi Middleware<->SCADA,OPC UA,372,5.035500002122717
RPi Middleware<->SCADA,OPC UA,373,5.5191999999806285
RPi Middleware<->SCADA,OPC UA,374,5.001900000934256
RPi Middleware<->SCADA,OPC UA,375,22.50629999980447
RPi Middleware<->SCADA,OPC UA,376,5.670899998222012
RPi Middleware<->SCADA,OPC UA,377,5.025900001783157
RPi Middleware<->SCADA,OPC UA,378,5.385000000387663
RPi Middleware<->SCADA,OPC UA,379,7.351000000198837
RPi Middleware<->SCADA,OPC UA,380,4.872699999395991
RPi Middleware<->SCADA,OPC UA,381,4.823300001589814
RPi Middleware<->SCADA,OPC UA,382,4.913799999485491
RPi Middleware<->SCADA,OPC UA,383,4.787099998793565
RPi Middleware<->SCADA,OPC UA,384,5.1045000000158325
RPi Middleware<->SCADA,OPC UA,385,5.918700000620447
RPi Middleware<->SCADA,OPC UA,386,5.430899997008964
RPi Middleware<->SCADA,OPC UA,387,6.079799997678492
RPi Middleware<->SCADA,OPC UA,388,7.418699999107048
RPi Middleware<->SCADA,OPC UA,389,7.902900000772206
RPi Middleware<->SCADA,OPC UA,390,13.716800000111107
RPi Middleware<->SCADA,OPC UA,391,4.995100000087405
RPi Middleware<->SCADA,OPC UA,392,5.212799998844275
RPi Middleware<->SCADA,OPC UA,393,5.047499998909188
RPi Middleware<->SCADA,OPC UA,394,5.1351999973121565
RPi Middleware<->SCADA,OPC UA,395,4.93839999762713
RPi Middleware<->SCADA,OPC UA,396,5.4025999997975305
RPi Middleware<->SCADA,OPC UA,397,5.02760000017588
RPi Middleware<->SCADA,OPC UA,398,6.067999998776941
RPi Middleware<->SCADA,OPC UA,399,6.166600000142353
RPi Middleware<->SCADA,OPC UA,400,5.187899998418288
RPi Middleware<->SCADA,OPC UA,401,4.950999998982297
RPi Middleware<->SCADA,OPC UA,402,4.9989999970421195
RPi Middleware<->SCADA,OPC UA,403,5.004899998311885
RPi Middleware<->SCADA,OPC UA,404,5.877899999177316
RPi Middleware<->SCADA,OPC UA,405,5.743900001107249
RPi Middleware<->SCADA,OPC UA,406,5.060200001025805
RPi Middleware<->SCADA,OPC UA,407,4.854699996940326
RPi Middleware<->SCADA,OPC UA,408,4.934900000080233
RPi Middleware<->SCADA,OPC UA,409,4.933100000926061
RPi Middleware<->SCADA,OPC UA,410,4.874599999311613
RPi Middleware<->SCADA,OPC UA,411,4.944100001011975
RPi Middleware<->SCADA,OPC UA,412,4.884599999058992
RPi Middleware<->SCADA,OPC UA,413,4.758299997774884
RPi Middleware<->SCADA,OPC UA,414,4.811599999811733
RPi Middleware<->SCADA,OPC UA,415,4.822200000489829
RPi Middleware<->SCADA,OPC UA,416,4.8451000002387445
RPi Middleware<->SCADA,OPC UA,417,4.947199999151053
RPi Middleware<->SCADA,OPC UA,418,4.975700001523364
RPi Middleware<->SCADA,OPC UA,419,4.832300000998657
RPi Middleware<->SCADA,OPC UA,420,4.894100002275081
RPi Middleware<->SCADA,OPC UA,421,5.573400001594564
RPi Middleware<->SCADA,OPC UA,422,4.956599997967714
RPi Middleware<->SCADA,OPC UA,423,4.878299998381408
RPi Middleware<->SCADA,OPC UA,424,4.958800000167685
RPi Middleware<->SCADA,OPC UA,425,4.873800000495976
RPi Middleware<->SCADA,OPC UA,426,5.0205000006826594
RPi Middleware<->SCADA,OPC UA,427,5.0918000015371945
RPi Middleware<->SCADA,OPC UA,428,4.844299997785129
RPi Middleware<->SCADA,OPC UA,429,4.796799999894574
RPi Middleware<->SCADA,OPC UA,430,5.007100000511855
RPi Middleware<->SCADA,OPC UA,431,4.898499999399064
RPi Middleware<->SCADA,OPC UA,432,4.939900001772912
RPi Middleware<->SCADA,OPC UA,433,4.951300001266645
RPi Middleware<->SCADA,OPC UA,434,5.036999998992542
RPi Middleware<->SCADA,OPC UA,435,4.835899999307003
RPi Middleware<->SCADA,OPC UA,436,4.985299998224946
RPi Middleware<->SCADA,OPC UA,437,4.882400000497
RPi Middleware<->SCADA,OPC UA,438,5.064299999503419
RPi Middleware<->SCADA,OPC UA,439,5.767500002548331
RPi Middleware<->SCADA,OPC UA,440,5.000099998142105
RPi Middleware<->SCADA,OPC UA,441,4.9034000003302936
RPi Middleware<->SCADA,OPC UA,442,5.000600001949351
RPi Middleware<->SCADA,OPC UA,443,4.8793000023579225
RPi Middleware<->SCADA,OPC UA,444,4.8923999966064
RPi Middleware<->SCADA,OPC UA,445,4.8650000026100315
RPi Middleware<->SCADA,OPC UA,446,4.993300000933232
RPi Middleware<->SCADA,OPC UA,447,4.927599999064114
RPi Middleware<->SCADA,OPC UA,448,4.966199998307275
RPi Middleware<->SCADA,OPC UA,449,4.877300001680851
RPi Middleware<->SCADA,OPC UA,450,4.961999999068212
RPi Middleware<->SCADA,OPC UA,451,4.888499999651685
RPi Middleware<->SCADA,OPC UA,452,4.997199997887947
